episode, show
330, [65 65 40 57 76 61 47 48 71 64 63 73 57 61 75 77]
331, [49 74 31 73 79 60 72 72 62 44 47 53 82 74 60 68]
332, [54 76 44 64 57 72 75 58 64 57 57 70 58 68 59 67]
333, [57 61 62 51 60 57 49 78 60 69 59 80 56 65 57 79]
334, [45 54 42 51 51 76 64 61 78 72 77 67 63 63 62 74]
335, [64 63 40 67 69 79 70 53 58 67 67 73 45 65 58 62]
336, [66 72 40 47 51 82 67 53 74 65 60 72 67 66 56 62]
337, [58 55 40 75 81 65 64 59 58 61 84 54 66 55 58 67]
338, [54 65 41 71 61 65 76 61 61 69 66 66 53 58 71 62]
339, [56 57 52 57 60 66 66 66 63 75 68 57 72 58 55 72]
340, [76 56 34 59 73 65 43 60 70 64 59 68 51 85 67 70]
341, [54 59 41 57 68 65 75 69 69 66 62 65 59 72 62 57]
342, [62 63 47 63 58 63 69 71 61 70 70 56 56 57 69 65]
343, [71 72 34 71 55 64 59 62 65 67 59 62 62 69 66 62]
344, [68 73 37 70 75 59 56 62 67 64 63 56 52 69 66 63]
345, [56 61 47 63 68 56 64 66 64 64 80 65 63 66 52 65]
346, [59 64 35 71 68 72 43 55 70 56 61 63 80 64 61 78]
347, [74 60 38 53 82 70 56 63 72 57 65 53 59 73 59 66]
348, [63 79 49 59 53 56 63 58 63 60 59 67 65 75 65 66]
349, [69 73 52 61 65 74 51 70 57 74 55 64 58 67 53 57]
350, [65 44 60 65 52 63 74 72 54 60 71 55 65 61 68 71]
351, [62 73 51 62 69 58 55 62 64 61 57 70 69 65 60 62]
352, [62 68 47 62 53 59 54 63 56 82 75 64 55 67 68 65]
353, [73 67 42 74 64 62 66 56 63 51 50 60 66 68 70 68]
354, [58 72 48 55 63 74 61 61 67 68 69 50 62 59 65 68]
355, [52 63 44 59 59 56 79 84 56 68 71 67 60 56 60 66]
356, [67 76 42 57 63 59 53 69 55 76 51 65 60 62 71 74]
357, [55 57 41 70 66 66 67 66 69 75 68 77 66 49 57 51]
358, [61 63 30 52 95 64 60 60 61 61 81 58 71 59 66 58]
